Time	SWR_O0
19.10.2018 17:22:30	-1.535
19.10.2018 17:22:45	-1.562
19.10.2018 17:23:00	-1.783
19.10.2018 17:23:15	-2.004
19.10.2018 17:23:30	-1.866
19.10.2018 17:23:45	-2.017
19.10.2018 17:24:00	-2.004
19.10.2018 17:24:15	-1.866
19.10.2018 17:24:30	-1.866
19.10.2018 17:24:45	-1.866
19.10.2018 17:25:00	-1.866
19.10.2018 17:25:15	-1.907
19.10.2018 17:25:30	-2.032
19.10.2018 17:25:45	-1.866
19.10.2018 17:26:00	-1.866
19.10.2018 17:26:15	-1.866
19.10.2018 17:26:30	-1.962
19.10.2018 17:26:45	-2.074
19.10.2018 17:27:00	-2.280
19.10.2018 17:27:15	-2.350
19.10.2018 17:27:30	-2.529
19.10.2018 17:27:45	-2.695
19.10.2018 17:28:00	-2.861
19.10.2018 17:28:15	-2.902
19.10.2018 17:28:30	-2.902
19.10.2018 17:28:45	-3.027
19.10.2018 17:29:00	-3.110
19.10.2018 17:29:15	-3.289
19.10.2018 17:29:30	-3.358
19.10.2018 17:29:45	-3.413
19.10.2018 17:30:00	-3.317
19.10.2018 17:30:15	-3.317
19.10.2018 17:30:30	-3.317
19.10.2018 17:30:45	-3.248
19.10.2018 17:31:00	-3.110
19.10.2018 17:31:15	-3.110
19.10.2018 17:31:30	-3.110
19.10.2018 17:31:45	-2.999
19.10.2018 17:32:00	-2.902
19.10.2018 17:32:15	-2.902
19.10.2018 17:32:30	-2.902
19.10.2018 17:32:45	-2.902
19.10.2018 17:33:00	-2.902
19.10.2018 17:33:15	-2.902
19.10.2018 17:33:30	-2.944
19.10.2018 17:33:45	-3.110
19.10.2018 17:34:00	-3.110
19.10.2018 17:34:15	-3.110
19.10.2018 17:34:30	-3.110
19.10.2018 17:34:45	-3.110
19.10.2018 17:35:00	-3.110
19.10.2018 17:35:15	-3.110
19.10.2018 17:35:30	-3.110
19.10.2018 17:35:45	-3.234
19.10.2018 17:36:00	-3.317
19.10.2018 17:36:15	-3.234
19.10.2018 17:36:30	-3.289
19.10.2018 17:36:45	-3.317
19.10.2018 17:37:00	-3.317
19.10.2018 17:37:15	-3.373
19.10.2018 17:37:30	-3.317
19.10.2018 17:37:45	-3.317
19.10.2018 17:38:00	-3.289
19.10.2018 17:38:15	-3.110
19.10.2018 17:38:30	-3.110
19.10.2018 17:38:45	-3.095
19.10.2018 17:39:00	-3.095
19.10.2018 17:39:15	-3.027
19.10.2018 17:39:30	-2.902
19.10.2018 17:39:45	-3.013
19.10.2018 17:40:00	-3.123
19.10.2018 17:40:15	-3.303
19.10.2018 17:40:30	-3.386
19.10.2018 17:40:45	-3.566
19.10.2018 17:41:00	-3.731
19.10.2018 17:41:15	-3.759
19.10.2018 17:41:30	-3.731
19.10.2018 17:41:45	-3.731
19.10.2018 17:42:00	-3.773
19.10.2018 17:42:15	-3.883
19.10.2018 17:42:30	-3.731
19.10.2018 17:42:45	-3.731
19.10.2018 17:43:00	-3.731
19.10.2018 17:43:15	-3.731
19.10.2018 17:43:30	-3.731
19.10.2018 17:43:45	-3.731
19.10.2018 17:44:00	-3.731
